bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Goa to Kolhapur(Maharashtra),Shreyash Travels,A/C Sleeper (2+1),2024-07-18 20:00:00,05h 00m,2024-07-18 01:00:00,3.2,477,"17 Seats available
4 Single"
Goa to Solapur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,2024-07-18 19:00:00,13h 30m,2024-07-18 08:30:00,2.8,850,"7 Seats available
3 Window"
Goa to Solapur,Humsafar Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,09h 30m,2024-07-18 04:30:00,3.9,1035,"16 Seats available
4 Single"
Goa to Solapur,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 16:30:00,11h 30m,2024-07-18 04:00:00,4.6,899,"11 Seats available
6 Single"
Goa to Solapur,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 15:30:00,11h 30m,2024-07-18 03:00:00,4.2,899,"7 Seats available
5 Window"
Goa to Solapur,S R Travels,A/C Seater/Sleeper (2+1),2024-07-18 20:30:00,11h 00m,2024-07-18 07:30:00,2.3,700,31 Seats available
Goa to Solapur,Sharma Travels,AC Sleeper (2+1),2024-07-18 15:10:00,10h 50m,2024-07-18 02:00:00,3.8,1300,"15 Seats available
2 Single"
Goa to Sangola (Solapur),Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,2024-07-18 19:00:00,11h 05m,2024-07-18 06:05:00,3.3,675,"7 Seats available
3 Window"
Goa to Sangola (Solapur),Humsafar Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,07h 00m,2024-07-18 02:00:00,3.1,1035,"23 Seats available
9 Single"
Sangola (Solapur) to Goa,Oops! No buses found.,,,,,,,
Calangute (goa) to Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),2024-07-18 15:30:00,01h 45m,2024-07-18 17:15:00,4.0,200,"41 Seats available
19 Window"
Calangute (goa) to Goa Airport,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),2024-07-18 18:30:00,01h 30m,2024-07-18 20:00:00,4.8,200,"42 Seats available
20 Window"
